order,pokemon,drafted_by,cost,run_id,was_egg
1,Treecko,Jackson,2500,2026_01_24_r1,
2,Shuppet,Christian,1600,2026_01_24_r1,
3,Popplio,Austin,3500,2026_01_24_r1,
4,Sandygast,Pavan,1800,2026_01_24_r1,
5,Oddish,Ely,2300,2026_01_24_r1,
6,Yanma,Christian,1600,2026_01_24_r1,
7,Meditite,Jackson,2100,2026_01_24_r1,
8,Corphish,Pavan,2200,2026_01_24_r1,
9,Snover,Austin,1500,2026_01_24_r1,
10,Skrelp,Austin,2500,2026_01_24_r1,
11,Teddiursa,Ely,2200,2026_01_24_r1,
12,Sneasel,Austin,2100,2026_01_24_r1,
13,Porygon,Pavan,2500,2026_01_24_r1,
14,Venipede,Jackson,1900,2026_01_24_r1,
15,Swirlix,Ely,2100,2026_01_24_r1,
16,Machop,Austin,2400,2026_01_24_r1,
17,Joltik,Christian,2000,2026_01_24_r1,
18,Chewtle,Jackson,2500,2026_01_24_r1,
19,Trapinch,Austin,2800,2026_01_24_r1,
20,Ponyta,Pavan,2100,2026_01_24_r1,
21,Falinks,Ely,2200,2026_01_24_r1,
22,Bulbasaur,Austin,3200,2026_01_24_r1,
23,Minior,Jackson,2700,2026_01_24_r1,
24,Salandit,Eli,2600,2026_01_24_r1,
25,Hawlucha,Christian,2300,2026_01_24_r1,
26,Jangmo-o,Eli,2800,2026_01_24_r1,
27,Carvanha,Ely,2100,2026_01_24_r1,
28,Geodude,Eli,2500,2026_01_24_r1,
29,Spoink,Jackson,1000,2026_01_24_r1,
30,Mawile,Christian,2600,2026_01_24_r1,
31,Solosis,Ely,2300,2026_01_24_r1,
32,Fidough,Ely,2600,2026_01_24_r1,
33,Budew,Pavan,3000,2026_01_24_r1,1
34,Pansear,Ely,2100,2026_01_24_r1,
35,Cacnea,Christian,2500,2026_01_24_r1,
36,Buizel,Eli,2300,2026_01_24_r1,
37,Pikipek,Pavan,2300,2026_01_24_r1,
38,Gible,Eli,3300,2026_01_24_r1,
39,Mankey,Pavan,2900,2026_01_24_r1,
40,Bombirdier,Eli,2300,2026_01_24_r1,
41,Spheal,Christian,2700,2026_01_24_r1,
42,Rotom,Jackson,4800,2026_01_24_r1,
43,Cubone,Jackson,2200,2026_01_24_r1,
44,Nosepass,Pavan,2200,2026_01_24_r1,
45,Wishiwashi,Christian,2200,2026_01_24_r1,
46,Morelull,Ely,2100,2026_01_24_r1,
47,Rolycoly,Christian,2400,2026_01_24_r1,
48,Gossifleur,Eli,4200,2026_01_24_r1,
