order,pokemon,drafted_by,cost,run_id,was_egg
1,Goomy,Primo,2200,2026_01_08_r1,
2,Roggenrola,Paddy,2100,2026_01_08_r1,
3,Smoliv,Austin,2400,2026_01_08_r1,
4,Vulpix,Ely,2400,2026_01_08_r1,
5,Wattrel,Eli,2900,2026_01_08_r1,
6,Drilbur,Ely,4300,2026_01_08_r1,
7,Cutiefly,Pavan,2200,2026_01_08_r1,
8,Teddiursa,Pavan,3400,2026_01_08_r1,
9,Diglett,Primo,2100,2026_01_08_r1,
10,Zigzagoon,Jackson,3600,2026_01_08_r1,
11,Pancham,Paddy,2600,2026_01_08_r1,
12,Slowpoke,Primo,1700,2026_01_08_r1,
13,Mareep,Paddy,2700,2026_01_08_r1,
14,Gible,Christian,5000,2026_01_08_r1,
15,Popplio,Joey,4500,2026_01_08_r1,
16,Cacnea,Pavan,2800,2026_01_08_r1,
17,Spoink,Primo,1900,2026_01_08_r1,
18,Hatenna,Christian,2300,2026_01_08_r1,
19,Tynamo,Joey,2700,2026_01_08_r1,
20,Rolycoly,Joey,2900,2026_01_08_r1,
21,Wooper,Ely,2800,2026_01_08_r1,
22,Helioptile,Austin,2000,2026_01_08_r1,
23,Castform,Ely,3500,2026_01_08_r1,
24,Tyrunt,Austin,1900,2026_01_08_r1,
25,Starly,Jackson,1700,2026_01_08_r1,
26,Yanma,Austin,2200,2026_01_08_r1,
27,Sewaddle,Paddy,1900,2026_01_08_r1,
28,Growlithe,Pavan,3700,2026_01_08_r1,
29,Pansear,Austin,2000,2026_01_08_r1,
30,Skiddo,Eli,2700,2026_01_08_r1,
31,Chingling,Paddy,2800,2026_01_08_r1,1
32,Yamper,Ely,1800,2026_01_08_r1,
33,Espurr,Austin,2600,2026_01_08_r1,
34,Nosepass,Primo,2200,2026_01_08_r1,
35,Totodile,Eli,3300,2026_01_08_r1,
36,Shellder,Christian,1700,2026_01_08_r1,
37,Meowth,Jackson,2000,2026_01_08_r1,
38,Minccino,Austin,1500,2026_01_08_r1,
39,Timburr,Eli,2700,2026_01_08_r1,
40,Sandile,Joey,2800,2026_01_08_r1,
41,Bunnelby,Eli,1500,2026_01_08_r1,
42,Litwick,Jackson,2900,2026_01_08_r1,
43,Flabebe,Joey,1900,2026_01_08_r1,
44,Litten,Eli,2700,2026_01_08_r1,
45,Fletchling,Austin,2000,2026_01_08_r1,
46,Beldum,Primo,2400,2026_01_08_r1,
47,Surskit,Austin,1500,2026_01_08_r1,
48,Porygon,Austin,1500,2026_01_08_r1,
49,Phantump,Ely,2100,2026_01_08_r1,
50,Fennekin,Jackson,2500,2026_01_08_r1,
51,Clamperl,Paddy,1900,2026_01_08_r1,
52,Stufful,Primo,1000,2026_01_08_r1,
53,Mankey,Christian,2200,2026_01_08_r1,
54,Mudkip,Christian,4000,2026_01_08_r1,
55,Sableye,Jackson,1800,2026_01_08_r1,
56,Drifloon,Joey,2000,2026_01_08_r1,
57,Turtwig,Jackson,3400,2026_01_08_r1,
58,Murkrow,Pavan,1900,2026_01_08_r1,
59,Rockruff,Paddy,1400,2026_01_08_r1,
60,Wishiwashi,Ely,1700,2026_01_08_r1,
61,Morelull,Primo,1300,2026_01_08_r1,
62,Snubbull,Paddy,1400,2026_01_08_r1,
63,Greavard,Joey,1200,2026_01_08_r1,
64,Inkay,Jackson,1700,2026_01_08_r1,
65,Shroomish,Pavan,1200,2026_01_08_r1,
66,Snorunt,Joey,1700,2026_01_08_r1,
67,Pichu,Paddy,2100,2026_01_08_r1,1
68,Sneasel,Pavan,2900,2026_01_08_r1,
69,Zorua,Primo,2600,2026_01_08_r1,
70,Rotom,Christian,4800,2026_01_08_r1,
71,Noibat,Primo,2100,2026_01_08_r1,
72,Grubbin,Eli,4200,2026_01_08_r1,
