order,pokemon,drafted_by,cost,run_id,was_egg
1,Frillish,Paddy,3200,2026_01_29_r2,
2,Blipbug,Primo,1600,2026_01_29_r2,
3,Sandygast,Pavan,2400,2026_01_29_r2,
4,Tentacool,Pavan,2300,2026_01_29_r2,
5,Chewtle,Pavan,2700,2026_01_29_r2,
6,Corsola,Austin,1700,2026_01_29_r2,
7,Honedge,Austin,2100,2026_01_29_r2,
8,Mudkip,Primo,3300,2026_01_29_r2,
9,Yanma,Austin,1700,2026_01_29_r2,
10,Goomy,Pavan,2500,2026_01_29_r2,
11,Yamper,Paddy,2000,2026_01_29_r2,
12,Pikipek,Pavan,1700,2026_01_29_r2,
13,Fennekin,Paddy,2800,2026_01_29_r2,
14,Treecko,Pavan,3300,2026_01_29_r2,
15,Clauncher,Paddy,2300,2026_01_29_r2,
16,Minior,Austin,1700,2026_01_29_r2,
18,Turtonator,Primo,2500,2026_01_29_r2,
17,Riolu,Paddy,3200,2026_01_29_r2,
19,Fuecoco,Primo,2500,2026_01_29_r2,
20,Buneary,Primo,1500,2026_01_29_r2,
21,Minccino,Paddy,1300,2026_01_29_r2,
22,Poliwag,Austin,2000,2026_01_29_r2,
23,Mawile,Primo,2300,2026_01_29_r2,
24,Litleo,Austin,1900,2026_01_29_r2,1
25,Wynaut,Austin,3000,2026_01_29_r2,1
26,Lillipup,Primo,1300,2026_01_29_r2,
27,Emolga,Primo,2500,2026_01_29_r2,
28,Sandshrew,Pavan,2600,2026_01_29_r2,
29,Tirtouga,Austin,2600,2026_01_29_r2,
30,Ekans,Primo,2500,2026_01_29_r2,
31,Stantler,Austin,3300,2026_01_29_r2,
32,Gothita,Paddy,2600,2026_01_29_r2,
