order,pokemon,drafted_by,cost,run_id,was_egg
1,Lillipup,Eli,2400,2026_01_30_r2,
2,Growlithe,Eli,2600,2026_01_30_r2,
3,Cubone,Ely,2400,2026_01_30_r2,
4,Wooper,Paddy,2300,2026_01_30_r2,
5,Litwick,Ely,3500,2026_01_30_r2,
6,Aron,Ely,3000,2026_01_30_r2,
7,Swirlix,Ely,2100,2026_01_30_r2,
8,Castform,Pavan,3200,2026_01_30_r2,
9,Turtonator,Jackson,2900,2026_01_30_r2,
10,Inkay,Paddy,1700,2026_01_30_r2,
11,Gossifleur,Jackson,3000,2026_01_30_r2,
12,Skorupi,Eli,2500,2026_01_30_r2,
13,Flabebe,Pavan,2200,2026_01_30_r2,
14,Absol,Ely,2100,2026_01_30_r2,
15,Shinx,Paddy,2800,2026_01_30_r2,
16,Drilbur,Austin,3100,2026_01_30_r2,
17,Geodude,Austin,2700,2026_01_30_r2,
18,Remoraid,Paddy,2400,2026_01_30_r2,
19,Charmander,Pavan,2200,2026_01_30_r2,
20,Feebas,Eli,1800,2026_01_30_r2,
21,Rowlet,Eli,3000,2026_01_30_r2,
22,Clamperl,Paddy,2500,2026_01_30_r2,
23,Tynamo,Austin,2300,2026_01_30_r2,
24,Bulbasaur,Austin,3700,2026_01_30_r2,
25,Morelull,Pavan,2600,2026_01_30_r2,
26,Poochyena,Austin,2400,2026_01_30_r2,
27,Tirtouga,Ely,2100,2026_01_30_r2,
28,Solosis,Eli,1700,2026_01_30_r2,
29,Goomy,Eli,2900,2026_01_30_r2,
30,Pancham,Pavan,2200,2026_01_30_r2,
31,Espurr,Jackson,2000,2026_01_30_r2,
32,Smeargle,Paddy,1100,2026_01_30_r2,
33,Porygon,Pavan,2600,2026_01_30_r2,
34,Ponyta,Paddy,2100,2026_01_30_r2,
35,Croagunk,Jackson,2600,2026_01_30_r2,
36,Bounsweet,Eli,2300,2026_01_30_r2,
37,Varoom,Pavan,2100,2026_01_30_r2,
38,Drifloon,Austin,1700,2026_01_30_r2,
39,Gothita,Jackson,2000,2026_01_30_r2,
40,Torchic,Austin,2400,2026_01_30_r2,
41,Onix,Jackson,2200,2026_01_30_r2,
42,Joltik,Paddy,1800,2026_01_30_r2,
43,Weedle,Austin,1700,2026_01_30_r2,
44,Zorua,Jackson,1500,2026_01_30_r2,
45,Shuppet,Paddy,900,2026_01_30_r2,
46,Surskit,Pavan,2900,2026_01_30_r2,
47,Yamper,Jackson,3800,2026_01_30_r2,
48,Gastly,Ely,3000,2026_01_30_r2,
