order,pokemon,drafted_by,cost,run_id,was_egg
1,Onix,Paddy,2000,2026_01_25_r1,
2,Gastly,Ely,2300,2026_01_25_r1,
3,Drilbur,Pavan,2800,2026_01_25_r1,
4,Pikipek,Ely,1900,2026_01_25_r1,
5,Gossifleur,Joey,2300,2026_01_25_r1,
6,Murkrow,Christian,2400,2026_01_25_r1,
7,Blitzle,Paddy,2300,2026_01_25_r1,
8,Machop,Ely,2400,2026_01_25_r1,
9,Tentacool,Primo,2200,2026_01_25_r1,
10,Zorua,Primo,2200,2026_01_25_r1,
11,Weedle,Ely,2000,2026_01_25_r1,
12,Hippopotas,Eli,2600,2026_01_25_r1,
13,Wattrel,Eli,2300,2026_01_25_r1,
14,Wooper,Joey,2900,2026_01_25_r1,
15,Totodile,Eli,3400,2026_01_25_r1,
16,Blipbug,Primo,2400,2026_01_25_r1,
17,Staryu,Pavan,2800,2026_01_25_r1,
18,Hawlucha,Christian,2600,2026_01_25_r1,
19,Helioptile,Joey,2500,2026_01_25_r1,
20,Chespin,Jackson,3700,2026_01_25_r1,
21,Squirtle,Jackson,3700,2026_01_25_r1,
22,Scatterbug,Paddy,2500,2026_01_25_r1,
23,Meowth,Primo,2100,2026_01_25_r1,
24,Oddish,Ely,2800,2026_01_25_r1,
25,Yanma,Joey,1700,2026_01_25_r1,
26,Teddiursa,Primo,3400,2026_01_25_r1,
27,Buneary,Christian,1600,2026_01_25_r1,
28,Porygon,Joey,3000,2026_01_25_r1,
29,Absol,Paddy,2100,2026_01_25_r1,
30,Sableye,Paddy,2000,2026_01_25_r1,
31,Minior,Pavan,2600,2026_01_25_r1,
32,Fuecoco,Jackson,3000,2026_01_25_r1,
33,Spritzee,Paddy,1900,2026_01_25_r1,
34,Emolga,Pavan,2100,2026_01_25_r1,
35,Mareep,Christian,2300,2026_01_25_r1,
36,Litten,Pavan,3000,2026_01_25_r1,
37,Snover,Christian,2100,2026_01_25_r1,
38,Slakoth,Jackson,2100,2026_01_25_r1,
39,Scyther,Paddy,2500,2026_01_25_r1,
40,Tirtouga,Christian,2600,2026_01_25_r1,
41,Falinks,Eli,2100,2026_01_25_r1,
42,Trubbish,Paddy,1600,2026_01_25_r1,
43,Tinkatink,Joey,2800,2026_01_25_r1,
44,Lotad,Pavan,2500,2026_01_25_r1,
45,Houndour,Joey,2400,2026_01_25_r1,
46,Geodude,Ely,1900,2026_01_25_r1,
47,Shellder,Primo,1600,2026_01_25_r1,
48,Espurr,Christian,2000,2026_01_25_r1,
49,Chewtle,Jackson,2600,2026_01_25_r1,
50,Elgyem,Primo,1600,2026_01_25_r1,
51,Hatenna,Eli,1800,2026_01_25_r1,
52,Feebas,Ely,2500,2026_01_25_r1,
53,Zubat,Eli,2900,2026_01_25_r1,
54,Shuppet,Primo,1700,2026_01_25_r1,
55,Clobbopus,Christian,1700,2026_01_25_r1,
56,Remoraid,Paddy,1300,2026_01_25_r1,
57,Fennekin,Ely,3900,2026_01_25_r1,
58,Sizzlipede,Eli,2500,2026_01_25_r1,
59,Sandshrew,Pavan,2600,2026_01_25_r1,
60,Snubbull,Primo,2800,2026_01_25_r1,
61,Voltorb,Christian,2500,2026_01_25_r1,
62,Makuhita,Eli,2400,2026_01_25_r1,
63,Poliwag,Joey,2400,2026_01_25_r1,
64,Wingull,Jackson,4900,2026_01_25_r1,
