order,pokemon,drafted_by,cost,run_id,was_egg
1,Helioptile,Austin,1700,2026_01_23_r2,
2,Grubbin,Paddy,2200,2026_01_23_r2,
3,Snubbull,Christian,1700,2026_01_23_r2,
4,Fidough,Paddy,2800,2026_01_23_r2,
5,Makuhita,Paddy,2200,2026_01_23_r2,
6,Aron,Paddy,3000,2026_01_23_r2,
7,Rowlet,Austin,3600,2026_01_23_r2,
8,Minccino,Paddy,1900,2026_01_23_r2,
9,Wattrel,Paddy,1700,2026_01_23_r2,
10,Blitzle,Jackson,1900,2026_01_23_r2,
11,Nosepass,Primo,2900,2026_01_23_r2,
12,Squirtle,Primo,3800,2026_01_23_r2,
13,Rolycoly,Jackson,1400,2026_01_23_r2,
14,Trapinch,Austin,3100,2026_01_23_r2,
15,Froakie,Primo,3100,2026_01_23_r2,
16,Teddiursa,Primo,2500,2026_01_23_r2,
17,Shroomish,Jackson,2700,2026_01_23_r2,
18,Gossifleur,Christian,1800,2026_01_23_r2,
19,Murkrow,Jackson,1900,2026_01_23_r2,
20,Zigzagoon,Jackson,2500,2026_01_23_r2,
21,Ponyta,Paddy,2100,2026_01_23_r2,
22,Roggenrola,Austin,2400,2026_01_23_r2,
23,Torchic,Austin,2500,2026_01_23_r2,
24,Snover,Jackson,1500,2026_01_23_r2,
25,Pikipek,Primo,1400,2026_01_23_r2,
26,Buneary,Austin,1000,2026_01_23_r2,
27,Hippopotas,Primo,2600,2026_01_23_r2,
28,Growlithe,Christian,2000,2026_01_23_r2,
29,Mudkip,Christian,5000,2026_01_23_r2,
30,Stufful,Christian,2000,2026_01_23_r2,
31,Applin,Paddy,2400,2026_01_23_r2,
32,Litleo,Austin,1900,2026_01_23_r2,
33,Zubat,Christian,2000,2026_01_23_r2,
34,Wingull,Jackson,2900,2026_01_23_r2,
35,Hawlucha,Primo,2300,2026_01_23_r2,
36,Scyther,Christian,2000,2026_01_23_r2,
37,Clobbopus,Christian,2000,2026_01_23_r2,
38,Horsea,Paddy,1600,2026_01_23_r2,
39,Oddish,Austin,3800,2026_01_23_r2,
40,Slakoth,Jackson,5200,2026_01_23_r2,
