order,pokemon,drafted_by,cost,run_id,was_egg
1,Shuppet,Jackson,1100,2026_01_28_r1,
2,Miltank,Pavan,2400,2026_01_28_r1,
3,Voltorb,Ely,2100,2026_01_28_r1,
4,Tynamo,Ely,2000,2026_01_28_r1,
5,Tirtouga,Ely,2600,2026_01_28_r1,
6,Smoliv,Ely,2400,2026_01_28_r1,
7,Hawlucha,Jackson,2500,2026_01_28_r1,
8,Cacnea,Pavan,2300,2026_01_28_r1,
9,Joltik,Jackson,1500,2026_01_28_r1,
10,Poliwag,Pavan,2300,2026_01_28_r1,
11,Skorupi,Ely,1900,2026_01_28_r1,
12,Goomy,Jackson,2100,2026_01_28_r1,
13,Gossifleur,Jackson,1900,2026_01_28_r1,
14,Klawf,Pavan,1600,2026_01_28_r1,
15,Growlithe,Pavan,3400,2026_01_28_r1,
16,Rowlet,Jackson,2700,2026_01_28_r1,
17,Zigzagoon,Ely,4200,2026_01_28_r1,
18,Slowpoke,Jackson,2200,2026_01_28_r1,
19,Helioptile,Ely,1700,2026_01_28_r1,
20,Bulbasaur,Pavan,3100,2026_01_28_r1,
21,Mawile,Ely,2800,2026_01_28_r1,
22,Gible,Pavan,4900,2026_01_28_r1,
23,Nincada,Jackson,2000,2026_01_28_r1,
24,Bagon,Jackson,4000,2026_01_28_r1,
