order,pokemon,drafted_by,cost,run_id,was_egg
1,Yanma,Austin,1700,2026_01_27_r1,
2,Aron,Eli,2400,2026_01_27_r1,
3,Weedle,Ely,1400,2026_01_27_r1,
4,Gothita,Eli,1700,2026_01_27_r1,
5,Wingull,Jackson,2300,2026_01_27_r1,
6,Poochyena,Austin,1800,2026_01_27_r1,
7,Squirtle,Jackson,3100,2026_01_27_r1,
8,Zorua,Ely,1800,2026_01_27_r1,
9,Wishiwashi,Ely,2000,2026_01_27_r1,
10,Fuecoco,Ely,2900,2026_01_27_r1,
11,Impidimp,Austin,2500,2026_01_27_r1,
12,Chinchou,Jackson,2800,2026_01_27_r1,
13,Grubbin,Ely,2000,2026_01_27_r1,
14,Shinx,Austin,2100,2026_01_27_r1,
15,Mareep,Eli,1500,2026_01_27_r1,
16,Corphish,Austin,1800,2026_01_27_r1,
17,Spritzee,Ely,2100,2026_01_27_r1,
18,Clamperl,Eli,1700,2026_01_27_r1,
19,Horsea,Eli,2200,2026_01_27_r1,
20,Drifloon,Austin,1600,2026_01_27_r1,
21,Helioptile,Austin,2100,2026_01_27_r1,
22,Yamper,Eli,1400,2026_01_27_r1,
23,Blipbug,Jackson,2000,2026_01_27_r1,
24,Tyrunt,Eli,2200,2026_01_27_r1,
25,Honedge,Austin,3100,2026_01_27_r1,
26,Blitzle,Jackson,1900,2026_01_27_r1,
27,Zigzagoon,Eli,2200,2026_01_27_r1,
28,Skiddo,Austin,3300,2026_01_27_r1,
29,Bounsweet,Ely,2000,2026_01_27_r1,
30,Meowth,Jackson,2000,2026_01_27_r1,
31,Shellder,Ely,4800,2026_01_27_r1,
32,Fidough,Jackson,5900,2026_01_27_r1,
